index,Maximum Installs
759,135068
760,11
761,46137
763,252
764,34
765,796903
766,16
767,258459
768,933
769,7920
770,62821
771,503
772,37
773,5
774,101
775,17
777,11495
778,82
779,19
780,201
781,249
782,1281
783,1835
784,627
785,5161
787,1430362
788,119190
789,79
790,59868
791,18927
792,10149
793,3974
794,59
795,5
796,393
797,220
798,168
799,63922
800,797
801,23
802,1705
803,15722
804,31006
805,322263
806,394951
807,8
808,394
809,701
810,107
811,145
812,738
813,82
814,50
815,20359
816,43396
817,4
818,85450
819,15
820,119190
821,57123
823,28004
824,35272
825,4
826,320
827,1992
828,11
829,6158
830,128
831,9
832,35
833,25
834,9650
835,21335
836,81
837,147
838,2482
839,63
840,47269
842,68
843,45086
844,0
845,40
846,987
847,36
848,80
849,4771
850,161098
851,2488
853,51
854,2429096
855,2755
856,73549
857,7430
858,23
860,133
861,246202
862,1
863,4615
864,402
865,29
866,33
867,5
868,7028
869,78
870,31
871,25
872,160
873,66253
874,80
875,265
876,2087
877,468
878,1309
879,58662
880,492
881,8649
882,2260
883,4582
884,32
885,10118065
886,65820
887,6103
888,20
889,26660
890,7
891,22445
892,235878
893,856
894,22
895,95
896,550
897,21617
898,22
899,217
900,1922
901,16
902,508
903,135086
904,62821
905,9
906,550
907,121918
908,1640
909,135026
910,17
911,7
912,865
914,140
915,1159
916,3240
917,78
918,111729
919,424
920,51
921,89
922,89
923,27937
924,5828
925,266197
926,3186
927,145
928,52
929,26617
930,3955
931,229
932,4213
933,1
934,1261
935,376
936,2208
937,66
938,418
939,13
940,377
941,43116
942,3
943,4617
944,25300
945,26708
946,22
947,377
948,74545
949,427458
950,57
951,48
952,62
953,795
955,701692
956,967
957,7896
958,3408
959,11483
960,6158
961,644
962,84243
963,20
964,1053
965,2537
966,1728
967,5
968,17
969,5
970,23147
971,2117
972,126
973,127
974,81
975,80
976,1031
978,17
979,871
980,454
981,446
982,1892
983,12
984,28
985,984
986,21
987,832
989,474
990,729
991,1095
992,213
993,7048
994,135
995,76
996,5784
997,4887
998,0
999,55
1000,3
1001,2954
1002,494
1003,6165
1004,36
1005,527
1006,173723
1007,202
1008,2634
1009,559054
1010,64183
1012,75
1013,133669
1014,724
1015,7
1016,738
1017,5
1018,9651
1019,148
1020,790
1022,21500
1023,6101
1024,3
1025,340
1026,1642
1028,17
1029,155
1030,27737580
1031,25
1033,492030
1035,29
1036,1194
1038,43
1039,81
1040,69
1041,679
1042,555552
1043,4003
1044,468
1045,11151
1046,384
1047,528
1048,28
1049,486
1050,7048
1051,281
1052,393
1053,14937
1054,5889
1055,1
1056,5907
1057,790
1058,67
1059,559054
1060,1316
1061,56
1062,23
1063,743
1064,8
1065,66
1066,1515
1067,600
1068,7065
1069,5669
1070,137
1071,15
1072,56
1073,9303
1074,145
1075,65322
1076,5822
1077,638
1078,62
1079,187
1080,793
1081,143
1082,245
1083,58
1084,1568
1085,97
1086,4307
1087,3579223
1088,23
1089,49
1090,1502
1091,35
1092,2658
1093,1
1094,512
1095,73549
1096,12
1097,135
1098,226
1099,14
1100,56
1101,33
1102,4729
1103,470
1104,8
1105,5525
1106,248
1107,1288
1108,5943
1109,6683
1110,1640
1111,1594
1112,7066
1113,0
1114,270
1115,7862
1116,17
1117,1582
1118,102
1119,5537
1120,1313
1121,616
1122,271
1123,291
1124,8027
1125,411786
1126,491
1127,282
1128,449
1129,1817
1130,127197
1131,44108
1132,6
1133,2401
1134,4240
1135,352
1136,119
1137,4289
1138,1132
1139,564
1141,1025
1142,469
1143,17560
1144,564
1145,210
1146,0
1147,6279
1148,1867006
1149,408519
1150,9
1151,18998
1152,1207
1153,37
1154,31981
1155,549
1156,1948
1157,150
1158,23423
1159,6980
