index,Maximum Installs
761,10
762,4406
763,5752
764,8763
765,1682
766,7977
767,678
768,17971
770,102
771,2921
773,399
774,13
775,39
776,206
777,12
778,167
779,381
780,523
781,1254
782,30122
783,8587
784,597
785,9
786,36987
787,694
788,3
789,50575
791,74
792,1980
793,24
794,1290
795,24104
796,4752
797,3
798,112
799,1664
800,10862
801,353970
802,220
803,27403
804,1
805,326
806,3
807,1771099
808,43222
809,27
810,31111
811,327
812,9181
813,54725
814,168
815,1437
816,20
817,5592
818,1664
819,1567
820,16
821,2543
822,67
823,47819
824,40906
825,106
826,61
827,10074
828,56
829,50
830,8
831,120
832,190
833,16
834,122226
835,2934
836,287345
837,21
838,26
839,23
840,77
841,916
842,4736
843,92421
844,73
845,1042
846,9
847,79
848,9453
849,918
850,4477564
851,987342
852,23
854,25
855,21746
857,7461
858,259
859,45808
860,30014
861,37962
862,73
863,5
864,27507
865,2457
866,9851
867,760
868,201
869,440778
870,14
871,308714
872,6
873,5298
874,410
875,136
876,39
877,63
878,1
879,34342
880,11235
881,18
882,132
883,11950
884,1002
885,6
886,2054
887,10782
888,64
889,538
890,67
891,46
892,67933
893,35
894,207821
895,225
896,412
897,0
898,371
899,28
900,3147
901,13
902,41
903,19668
904,9411
905,19202
906,172
907,59
908,1682
909,95
910,1637
911,847
912,10526
913,464
914,160
915,358
916,56678
917,3377
918,1188
919,247
920,19933
921,653
922,49
923,348
925,15
926,1842
928,65
930,1282
932,407
933,104581
934,2536
935,1039
937,1100
938,48
939,296
940,482
941,46
942,51233
943,42
944,804
945,267
946,799
947,19
948,70
949,1411
950,55
951,103
952,105015
953,681
955,38593
956,1543
957,274
958,430
959,68
960,230
961,17170
962,172
963,708
964,10
965,33
966,5
967,199
968,120501
969,147
970,12187
971,98
973,4452
974,190
975,7
976,7706
977,21
978,988
979,455
980,1532
981,111231
982,158
983,2023
984,114
985,88
986,28
988,32
989,28
990,33
991,687
992,41671
993,1055
994,824
995,3352
996,493
997,4
998,48728
999,215
1000,342
1001,26100
1002,406
1003,11
1004,496
1005,26758
1006,1
1007,77
1008,1618
1009,12255
1010,58586
1011,100
1012,81280
1013,4
1014,1021
1015,1738
1016,2649
1017,1099
1018,14
1019,6561
1020,2047
1021,7610
1022,16789
1023,80
1024,240
1025,101
1026,2214
1027,80712
1028,9679
1029,73722
1030,647
1031,3444281
1032,2529
1033,231
1034,15582
1036,42474
1037,37
1039,6177
1040,184
1041,198
1042,19
1043,21
1044,86
1045,445
1046,316
1047,217
1048,1251
1049,8907
1050,60680
1051,3770
1052,6759
1053,24
1054,3592
1055,1012
1056,6838
1057,650
1058,12266
1059,8889
1060,158650
1061,9
1062,4188
1063,195
1064,2779
1065,28
1066,8136
1067,2468
1068,55220
1069,12
1070,50
1071,122
1072,104114
1073,10349
1074,98
1075,298
1076,2958
1077,21
1078,192
1079,4031
1080,579
1081,100
1082,4
1083,15
1084,8903
1085,7933
1086,45014
1087,195
1088,557173
1089,26
1090,99
1091,43
1092,259
1093,2547
1094,222241
1095,31902
1096,744
1097,7700
1098,9
1099,8
1100,22971
1101,1666951
1102,4033
1103,2
1104,218751
1105,329095
1106,2
1107,819
1108,9
1109,50
1110,185
1111,17090
1113,14997
1114,483
1115,1355
1116,60
1117,360
1118,548
1119,65545
1120,4
1121,184752
1122,6
1123,77
1124,58985
1125,20
1126,570723
1127,1084
1128,6
1129,1262
1131,1382034
1133,53
1134,209
1136,20583
1137,10
1138,21931
1139,1274
1140,293
1141,536
1143,210179
1144,10123
1145,6
1146,2143367
1147,1694
1149,2474
1150,434543
1151,366
1152,117
1153,11062
1154,503
1155,2574
1156,158
1157,897
1158,1964
1159,1319
1160,21104
1161,272527
1162,366
1164,367
1165,5997
1166,528790
1167,451
1168,1225
1169,900
1170,3938
1171,534
1172,112
1173,6084
1174,25450
1175,3584
1176,225
1177,26
1178,1415
1179,76
1180,35
1181,41096
1182,3856
1183,6302
1184,3005
1185,26
1187,49
1189,1821
1190,1036
1191,159
1192,78
1193,105
1194,3981
1195,217941
1197,247
1198,1
1199,3935
1200,46
1201,953
1202,35
1203,1113
1204,115
1205,15
1206,127
1207,2227
1208,17589
1209,54283
1210,4752704
1211,69840
1212,9421
1213,25
1214,816
1215,253
1216,14184
1217,55
1218,591
1219,40
1220,666
1221,28160
1222,186
1223,4810
1224,10753
1225,26
1226,380837
1227,24817
1228,66
1229,98
1230,1
1231,51108
1232,18712
1233,5494
1234,73403
1235,74
1236,3
1237,1196
1239,36267
1241,8
1242,108684
1243,4383
1244,1737
1245,5630
1246,639
1247,4
1248,261
1249,8787
1250,22
1251,10844
1252,2608
1253,24480
1254,43141
1255,885
1256,153
1257,18539
1258,35
1259,663
1260,13782
1261,3432
1262,5289
1263,1104
1265,159
1267,163
1268,90
1269,2779
1270,34
1271,312
1272,32
1274,35374
1275,10
1277,83
1278,115
1279,105
1280,206898
1281,115244
1282,5
1283,437
1284,443
1285,6555
1286,78
1287,7694
1288,1570
1289,89
1290,1500
1291,4385
1292,521
1293,707
1294,7636
1295,160
1296,24
1297,8
1298,1
1299,1778
1300,121
1301,698
1302,195
1303,236008
1304,4263
1305,2610
1306,91535
1307,1875
1308,862
1309,130
1310,12085
1311,153
1312,3092
1313,195
1314,80
1315,4552
1316,8434
1317,424
1318,1147
1319,941
1320,1301
1321,1824
1322,456
1323,19
1324,73341
1325,3316
1326,1244
1327,19019
1328,30
1330,50
1331,53810
1332,74
1333,337
1334,64
1335,385
1336,1939374
1337,1212192
1338,9205
1339,378
1340,6
1341,17547
1342,179285
1343,333248
1344,1229
1345,4
1346,280
1347,861
1348,819
1349,186274
1350,374
1351,17153
1352,278
1353,2185
1355,23
1356,3
1357,3225
1358,473
1359,195
1360,4092
1361,1451
1363,1584
1364,32
1365,12
1366,1550
1367,3400
1368,814
1369,173
1370,8443
1371,80
1372,150
1373,2271
1374,234
1375,6
1376,2513
1377,8646
1378,10511
1379,24321
1380,101
1381,14
1382,41
1383,1471
1384,79
1386,658
1387,164542
1388,13211278
1389,216
1390,424
1391,185
1392,11268
1393,261
1394,54
1395,348
1396,61
1397,31
1398,414
1399,506
1400,21
1401,294
1402,9433
1403,5
1404,10
1405,38
1406,8
1407,27
1408,1676
1409,327
1410,5647
1411,1241
1412,110
1413,257
1414,25
1415,97556
1416,143
1417,692219
1418,3835
1419,22144
1420,50598
1421,15
1422,1444
1423,27
1424,47
1426,2201
1427,199
1428,1604
1429,11
1430,124
1431,97
1432,409
1433,2394
1434,13762
1435,2839
1436,590
1437,2417261
1438,132
1439,5022
1440,1185
1441,29
1442,102804
1443,3996
1444,119032
1445,63927
1446,26460
1447,50
1448,600
1449,192
1450,35
1451,56
1452,794
1453,2339
1454,2370510
1455,22
1456,758
1457,7379
1458,4445118
1459,8176
1460,1047
1461,322
1462,14
1463,413604
1464,6566
1465,15
1466,4470
1467,1449
1468,3
1469,151
1470,68
1471,3149
1472,3841
1473,111
1474,154
1475,37963
1476,150
1477,392
1478,48565
1479,1505
1480,142
1481,836
1482,833
1483,111
1484,32
1485,29
1486,1115
1487,4984
1488,116896
1489,40
1490,282
1491,128006
1492,174
1493,20523
1495,15558
1496,290
1497,227
1498,13
1499,2973
1500,220
1501,3779
1502,4292
1503,720
1504,243
1505,2865
1506,5419
1507,803
