,Installs
565,4.0
566,4.0
567,4.0
568,4.0
569,7.0
570,5.0
571,7.0
572,4.0
573,1.0
574,5.0
575,8.0
576,10.0
577,5.0
578,7.0
579,4.0
580,16.0
581,4.0
582,16.0
583,16.0
585,17.0
587,13.0
588,10.0
589,13.0
590,3.0
591,7.0
593,5.0
594,13.0
595,5.0
596,7.0
597,2.0
598,7.0
599,7.0
600,13.0
601,16.0
602,13.0
603,7.0
604,2.0
605,8.0
606,13.0
607,4.0
608,7.0
609,2.0
610,4.0
611,13.0
612,11.0
613,16.0
614,4.0
615,5.0
616,7.0
618,4.0
619,4.0
620,7.0
621,2.0
622,7.0
623,5.0
624,7.0
625,2.0
626,2.0
627,7.0
628,2.0
629,4.0
630,5.0
631,8.0
632,11.0
633,3.0
634,11.0
635,7.0
636,1.0
637,2.0
638,7.0
639,11.0
640,7.0
641,2.0
642,8.0
643,4.0
644,10.0
646,2.0
647,4.0
648,7.0
649,4.0
650,3.0
651,8.0
652,11.0
653,7.0
654,7.0
655,7.0
656,4.0
657,8.0
658,7.0
659,5.0
660,10.0
662,4.0
663,11.0
664,5.0
665,16.0
666,13.0
667,1.0
668,2.0
669,8.0
670,5.0
671,2.0
672,7.0
673,4.0
674,16.0
676,2.0
677,5.0
678,2.0
679,7.0
680,7.0
681,5.0
682,2.0
683,2.0
684,5.0
685,4.0
686,2.0
687,14.0
688,11.0
689,16.0
690,3.0
692,7.0
693,11.0
694,7.0
695,2.0
696,16.0
697,7.0
698,7.0
699,7.0
700,5.0
701,7.0
703,2.0
704,7.0
705,5.0
706,13.0
707,2.0
708,8.0
709,14.0
710,13.0
711,4.0
712,4.0
713,13.0
714,4.0
715,5.0
716,7.0
718,7.0
720,2.0
721,4.0
722,2.0
723,1.0
724,7.0
725,7.0
726,7.0
727,4.0
728,13.0
729,10.0
730,7.0
731,8.0
732,3.0
733,7.0
734,11.0
735,7.0
736,16.0
737,2.0
738,4.0
739,7.0
741,2.0
742,5.0
743,7.0
744,7.0
745,7.0
746,7.0
747,13.0
748,8.0
749,1.0
750,4.0
751,2.0
752,11.0
753,4.0
754,2.0
755,17.0
756,14.0
757,10.0
758,5.0
759,2.0
760,11.0
761,4.0
762,2.0
763,11.0
764,11.0
765,2.0
766,11.0
767,16.0
768,5.0
770,7.0
771,2.0
773,7.0
774,4.0
775,4.0
776,7.0
777,4.0
778,7.0
779,7.0
780,16.0
781,2.0
782,5.0
783,11.0
784,16.0
785,10.0
786,5.0
787,16.0
788,1.0
789,14.0
791,13.0
792,2.0
793,4.0
794,2.0
795,5.0
796,2.0
797,1.0
798,7.0
799,2.0
800,5.0
801,8.0
802,7.0
803,5.0
804,1.0
805,7.0
806,1.0
807,3.0
808,5.0
809,4.0
810,5.0
811,7.0
812,11.0
813,14.0
814,7.0
815,2.0
816,4.0
817,11.0
818,2.0
819,2.0
820,4.0
821,2.0
822,13.0
823,5.0
824,5.0
825,7.0
826,13.0
827,5.0
828,13.0
829,13.0
830,10.0
831,7.0
832,7.0
833,4.0
834,8.0
835,2.0
836,8.0
837,4.0
838,4.0
839,4.0
840,13.0
841,16.0
842,2.0
843,14.0
844,13.0
845,2.0
846,10.0
847,13.0
848,11.0
849,16.0
850,3.0
851,17.0
852,4.0
854,4.0
855,5.0
857,11.0
858,7.0
859,5.0
860,5.0
861,5.0
862,13.0
863,10.0
864,5.0
865,2.0
866,11.0
867,16.0
868,7.0
869,8.0
870,4.0
871,8.0
872,10.0
873,11.0
874,7.0
875,7.0
876,4.0
877,13.0
878,1.0
879,5.0
880,5.0
881,4.0
882,7.0
883,5.0
884,2.0
885,10.0
886,2.0
887,5.0
888,13.0
889,16.0
890,13.0
891,4.0
892,14.0
893,4.0
894,8.0
895,7.0
896,7.0
897,0.0
898,7.0
899,4.0
900,2.0
901,4.0
902,4.0
903,5.0
904,11.0
905,5.0
906,7.0
907,13.0
908,2.0
909,13.0
910,2.0
911,16.0
912,5.0
913,7.0
914,7.0
915,7.0
916,14.0
917,2.0
918,2.0
919,7.0
920,5.0
921,16.0
922,4.0
923,7.0
925,4.0
926,2.0
928,13.0
930,2.0
932,7.0
933,8.0
934,2.0
935,2.0
937,2.0
938,4.0
939,7.0
940,7.0
941,4.0
942,14.0
943,4.0
944,16.0
945,7.0
946,16.0
947,4.0
948,13.0
949,2.0
950,13.0
951,7.0
952,8.0
953,16.0
955,5.0
956,2.0
957,7.0
958,7.0
959,13.0
960,7.0
961,5.0
962,7.0
963,16.0
964,4.0
965,4.0
966,10.0
967,7.0
968,8.0
969,7.0
970,5.0
971,13.0
973,2.0
974,7.0
975,10.0
976,11.0
977,4.0
978,16.0
979,7.0
980,2.0
981,8.0
982,7.0
983,2.0
984,7.0
985,13.0
986,4.0
988,4.0
989,4.0
990,4.0
991,16.0
992,5.0
993,2.0
994,16.0
995,2.0
996,7.0
997,1.0
998,5.0
999,7.0
1000,7.0
1001,5.0
1002,7.0
1003,4.0
1004,7.0
1005,5.0
1006,1.0
1007,13.0
1008,2.0
1009,5.0
1010,14.0
1011,7.0
1012,14.0
1013,1.0
1014,2.0
1015,2.0
1016,2.0
1017,2.0
1018,4.0
1019,11.0
1020,2.0
1021,11.0
1022,5.0
1023,13.0
1024,7.0
1025,7.0
1026,2.0
1027,14.0
1028,11.0
1029,14.0
1030,16.0
1031,3.0
1032,2.0
1033,7.0
1034,5.0
1036,5.0
1037,4.0
1039,11.0
1040,7.0
1041,7.0
1042,4.0
1043,4.0
1044,13.0
1045,7.0
1046,7.0
1047,7.0
1048,2.0
1049,11.0
1050,14.0
1051,2.0
1052,11.0
1053,4.0
1054,2.0
1055,2.0
1056,11.0
1057,16.0
1058,5.0
1059,11.0
1060,8.0
1061,10.0
1062,2.0
1063,7.0
1064,2.0
1065,4.0
1066,11.0
1067,2.0
1068,14.0
1069,4.0
1070,13.0
1071,7.0
1072,8.0
1073,5.0
1074,13.0
1075,7.0
1076,2.0
1077,4.0
1078,7.0
1079,2.0
1080,16.0
1081,7.0
1082,1.0
1083,4.0
1084,11.0
1085,11.0
1086,5.0
1087,7.0
1088,17.0
1089,4.0
1090,13.0
1091,4.0
1092,7.0
1093,2.0
1094,8.0
1095,5.0
1096,16.0
1097,11.0
1098,10.0
1099,10.0
1100,5.0
1101,3.0
1102,2.0
1103,1.0
1104,8.0
1105,8.0
1106,1.0
1107,16.0
1108,10.0
1109,13.0
1110,7.0
1111,5.0
1113,5.0
1114,7.0
1115,2.0
1116,13.0
1117,7.0
1118,16.0
1119,14.0
1120,1.0
1121,8.0
1122,10.0
1123,13.0
1124,14.0
1125,4.0
1126,17.0
1127,2.0
1128,10.0
1129,2.0
1131,3.0
1133,13.0
1134,7.0
1136,5.0
1137,4.0
1138,5.0
1139,2.0
1140,7.0
1141,16.0
1143,8.0
1144,5.0
1145,10.0
1146,3.0
1147,2.0
1149,2.0
1150,8.0
1151,7.0
1152,7.0
1153,5.0
1154,16.0
1155,2.0
1156,7.0
1157,16.0
1158,2.0
1159,2.0
1160,5.0
1161,8.0
1162,7.0
1164,7.0
1165,11.0
1166,17.0
1167,7.0
1168,2.0
1169,16.0
1170,2.0
1171,16.0
1172,7.0
1173,11.0
1174,5.0
1175,2.0
1176,7.0
1177,4.0
1178,2.0
1179,13.0
1180,4.0
1181,5.0
1182,2.0
1183,11.0
1184,2.0
1185,4.0
1187,4.0
1189,2.0
1190,2.0
1191,7.0
1192,13.0
1193,7.0
1194,2.0
1195,8.0
1197,7.0
1198,1.0
1199,2.0
1200,4.0
1201,16.0
1202,4.0
1203,2.0
1204,7.0
1205,4.0
1206,7.0
1207,2.0
1208,5.0
1209,14.0
1210,3.0
1211,14.0
1212,11.0
1213,4.0
1214,16.0
1215,7.0
1216,5.0
1217,13.0
1218,16.0
1219,4.0
1220,16.0
1221,5.0
1222,7.0
1223,2.0
1224,5.0
1225,4.0
1226,8.0
1227,5.0
1228,13.0
1229,13.0
1230,1.0
1231,14.0
1232,5.0
1233,11.0
1234,14.0
1235,13.0
1236,1.0
1237,2.0
1239,5.0
1241,10.0
1242,8.0
1243,2.0
1244,2.0
1245,11.0
1246,16.0
1247,1.0
1248,7.0
1249,11.0
1250,4.0
1251,5.0
1252,2.0
1253,5.0
1254,5.0
1255,16.0
1256,7.0
1257,5.0
1258,4.0
1259,16.0
1260,5.0
1261,2.0
1262,11.0
1263,2.0
1265,7.0
1267,7.0
1268,13.0
1269,2.0
1270,4.0
1271,7.0
1272,4.0
1274,5.0
1275,4.0
1277,13.0
1278,7.0
1279,7.0
1280,8.0
1281,8.0
1282,10.0
1283,7.0
1284,7.0
1285,11.0
1286,13.0
1287,11.0
1288,2.0
1289,13.0
1290,2.0
1291,2.0
1292,16.0
1293,16.0
1294,11.0
1295,7.0
1296,4.0
1297,10.0
1298,1.0
1299,2.0
1300,7.0
1301,16.0
1302,7.0
1303,8.0
1304,2.0
1305,2.0
1306,14.0
1307,2.0
1308,16.0
1309,7.0
1310,5.0
1311,7.0
1312,2.0
1313,7.0
1314,13.0
1315,2.0
1316,11.0
1317,7.0
1318,2.0
1319,16.0
1320,2.0
1321,2.0
1322,7.0
1323,4.0
1324,14.0
1325,2.0
1326,2.0
1327,5.0
1328,4.0
1330,13.0
1331,14.0
1332,13.0
1333,7.0
1334,13.0
1335,7.0
1336,3.0
1337,3.0
1338,11.0
1339,7.0
1340,10.0
1341,5.0
1342,8.0
1343,8.0
1344,2.0
1345,1.0
1346,7.0
1347,16.0
1348,16.0
1349,8.0
1350,7.0
1351,5.0
1352,7.0
1353,2.0
1355,4.0
1356,1.0
1357,2.0
1358,7.0
1359,7.0
1360,2.0
1361,2.0
1363,2.0
1364,4.0
1365,4.0
1366,2.0
1367,2.0
1368,16.0
1369,7.0
1370,11.0
1371,13.0
1372,7.0
1373,2.0
1374,7.0
1375,10.0
1376,2.0
1377,11.0
1378,5.0
1379,5.0
1380,7.0
1381,4.0
1382,4.0
1383,2.0
1384,13.0
1386,16.0
1387,8.0
1388,6.0
1389,7.0
1390,7.0
1391,7.0
1392,5.0
1393,7.0
1394,13.0
1395,7.0
1396,13.0
1397,4.0
1398,7.0
1399,16.0
1400,4.0
1401,7.0
1402,11.0
1403,10.0
1404,4.0
1405,4.0
1406,10.0
1407,4.0
1408,2.0
1409,7.0
1410,11.0
1411,2.0
1412,7.0
1413,7.0
1414,4.0
1415,14.0
1416,7.0
1417,17.0
1418,2.0
1419,5.0
1420,14.0
1421,4.0
1422,2.0
1423,4.0
1424,4.0
1426,2.0
1427,7.0
1428,2.0
1429,4.0
1430,7.0
1431,13.0
1432,7.0
1433,2.0
1434,5.0
1435,2.0
1436,16.0
1437,3.0
1438,7.0
1439,11.0
1440,2.0
1441,4.0
1442,8.0
1443,2.0
1444,8.0
1445,14.0
1446,5.0
1447,13.0
1448,16.0
1449,7.0
1450,4.0
1451,13.0
1452,16.0
1453,2.0
1454,3.0
1455,4.0
1456,16.0
1457,11.0
1458,3.0
1459,11.0
1460,2.0
1461,7.0
1462,4.0
1463,8.0
1464,11.0
1465,4.0
1466,2.0
1467,2.0
1468,1.0
1469,7.0
1470,13.0
1471,2.0
1472,2.0
1473,7.0
1474,7.0
1475,5.0
1476,7.0
1477,7.0
1478,5.0
1479,2.0
1480,7.0
1481,16.0
1482,16.0
1483,7.0
1484,4.0
1485,4.0
1486,2.0
1487,2.0
1488,8.0
1489,4.0
1490,7.0
1491,8.0
1492,7.0
1493,5.0
1495,5.0
1496,7.0
1497,7.0
1498,4.0
1499,2.0
1500,7.0
1501,2.0
1502,2.0
1503,16.0
1504,7.0
1505,2.0
1506,11.0
1507,16.0
1508,13.0
1509,16.0
1510,16.0
1511,1.0
1512,7.0
1513,13.0
1514,8.0
1515,2.0
1516,2.0
1517,7.0
1518,4.0
1519,2.0
1520,7.0
1521,10.0
1522,7.0
1524,7.0
1525,7.0
1526,7.0
1527,2.0
1528,7.0
1529,4.0
1530,1.0
1531,4.0
1532,4.0
1533,7.0
1534,2.0
1535,4.0
1536,1.0
1537,16.0
1538,2.0
1539,13.0
1540,7.0
1541,16.0
1542,11.0
1543,3.0
1544,7.0
1545,2.0
1546,2.0
1547,11.0
1548,2.0
1549,16.0
1550,7.0
1551,14.0
1552,2.0
1553,2.0
1554,4.0
1555,12.0
1556,7.0
1557,1.0
1558,14.0
1559,16.0
1560,16.0
1561,2.0
1562,16.0
1563,11.0
1564,14.0
1565,2.0
1566,7.0
1567,8.0
1568,5.0
1569,5.0
1570,7.0
1571,7.0
1572,7.0
1573,7.0
1574,11.0
1575,13.0
1576,7.0
1577,4.0
1578,7.0
1579,7.0
1580,2.0
1581,7.0
1582,7.0
1583,7.0
1584,13.0
1585,2.0
1586,7.0
1587,5.0
1589,17.0
1590,14.0
1591,8.0
1593,2.0
1594,16.0
1595,11.0
1596,11.0
1598,3.0
1599,4.0
1600,4.0
1601,2.0
1602,10.0
1603,7.0
1604,17.0
1605,7.0
1606,4.0
1607,7.0
1608,16.0
1610,11.0
1611,5.0
1612,5.0
1613,11.0
1614,5.0
1615,13.0
1616,13.0
1617,2.0
1618,10.0
1619,7.0
1620,2.0
1621,4.0
1624,1.0
1625,2.0
1626,5.0
1627,2.0
1628,16.0
1630,4.0
1631,14.0
1632,8.0
1633,5.0
1634,2.0
1635,7.0
1636,7.0
1637,4.0
1638,7.0
1639,7.0
1640,16.0
1641,5.0
1642,16.0
1643,11.0
1644,4.0
1645,13.0
1646,11.0
1647,2.0
1648,4.0
1651,7.0
1652,16.0
1653,5.0
1654,2.0
1655,4.0
1656,13.0
1657,5.0
1658,13.0
1659,2.0
1660,8.0
1661,4.0
1662,7.0
1663,7.0
1664,13.0
1665,4.0
1666,11.0
1667,2.0
1668,13.0
1669,16.0
1670,2.0
1671,16.0
1672,13.0
1673,7.0
1674,8.0
1675,5.0
1677,7.0
1678,4.0
